Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N43.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P43.mzML
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12											9668.13	144542	292879	195402	116642	82846.2	52815.1	57873.3	65945.4	35986.7	79593.6	119644	178373	93245.3	87162.5	71803.1	36625.9	24241.2			72461.8															81859.3	186474	146548	81601.5	19498.9	26873.2		85081.9	53591.8		84634.4	131125	313925	56187.3	36986.5	31488.9	47736.8			84796.8			101200
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9		38749.3	39902.1			55133.6		65429.8	153340	290977	478792	309732	159270	96116.1	56746.6	47206.5	30312.1	37024.3	29515	42072.4	23122.1	19886.8	24585.4	30103.1	34480	40673.5	32718.6	70255.6	80821.6	87201.8	73944.4	127674	89723.6			81243.8							97729.8	322133	206572	453123	140127	94265.4	72696.9	78326.5	53411.2					27192.1	21655.7		41823	48013.5	39904.2	56092.9	107561	142227	216923	88397.9		
O00257	O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4					262316						57326.6	68017.7	57839.1	35274.2	52257	37567.5	25930.8	41539.4	42227.3	66336.2	44183.3	51951.5	78720.5	112198	136552	145239	202663	316482	339112	324215	340678	101658	85401.7	157391												65355.5		29473.1	35565.8		16086.6	98739.7				59566.9	50857.7	384713	122745	157470	160460	303593	250705	286226	197667	177834		
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1																												27387.7																																		45860.4	14625.2					
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5		164887	102059					204418	277840	218067	167266	71771	29062.9	18373.3	33706.1	38540	37545.7	27972.7	34919.1	36795.5	32106.8	44553.8	30766.6	26833.1	20810.4	25058.6	27912.1	79373.1	319255	179314	135489	79403.2														36904.3		40395.6	29889.3	33502	28350.9					34580.5	22978.5		19400.2			44932.2	350835	189059	152422			
O00268	O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.50906e+06	615020	172694	181744	177965	212084	312592	413117	481231	409840	180844	69432.9	54123.9	39747.4	23164	19412.6	19007.9	10170.7	18749.3	22270.8	5494.06	10994.7	9797.8	20475.6	14643.4	6995.55	66928.9	64222.6	47787.2	243652						623575						222208	1.06392e+06	952798	573165	107452	37961.5	21490.4	28831	37383.9	22852.6										29278.4	21377.8	38996.4	97981				
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1		137686											23000.7				23099.4	19408.3	200183	76042.4	83737.1	53784.8	33298.5	19652.6	26805.7	12840.2	134608															289046						9896.06	11041	27504.4	37013.8	161527	143473	173110		56839.7	72472.1		71451.8	129218	43799.5	112700	56082.5	47457.4	287337	359407	235094	436785
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F																						6842.98		12946			45009.1	121103	88012.9																												16914.4		18916.2	22058.9	56750.4	155213	131410	63298.6				
O00308	O00308;Q9H0M0	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2		47784.7								20123.4	36184.7	29342	79278.5	50861.7	79994.5	284744	580458	590612	379489	274027	121489	86054.6	72993	65001.2	60303.9	42735.6	46238.9	48443.8	128206	149524	142483	96491.9	153413											19862.9		35175.7	62974.2	41152	88419.5	247400	540032	458707	235357	86473.1		77201.4	58882.9		55922.7	96849.6	49585.7	62514.7	126078	51042.7		311918		
O00339	O00339	MATN2_HUMAN	MATN2	Matrilin-2																						45446					20137.1	86850.5	57802.4																								136709							13241.2		59898.7						
O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1							2.9819e+06									33470.3	51656.6	39042.1	58972.7	28905.6	11611.4																													27947.8	33028.7			16208.1														
O00399	O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6													27001.2	26352.5			11444.8	5166.34					5710.56		8013.89	14742.5																				36326.6	45232.5	42469.8	13453.6		16264.5					10408.6	23210.2			26428.8	15187.5							
O00401	O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL																								11617.2			34306.3	82138.2	141546	190142	101841	134440																												28392.8	79467.4	90150.1	224528	262622	205248	175987		
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5													17959.5											9000.18		13311.3	10962.4																													22560.8			24818.2	35495.8	27944.1					38021.1		
O00418	O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase																					23827.2	17209.1	26609.2	27499.5	44944.5	63337.9	129587	688469	725475	332071	232376																134107				100377								40019.3	57806	116438	529344	872303	362025	330255			
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18																			68520.4		37132	58381.5	108857	104297	154278	184005	190025	256388	207281	379610	306005	318016		115732																89921						92996.3	138341		68614	157398	119894	202958	183965	239479	214098		144594	
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3													4329.54					4903.71	13132.2		5208.59		7237.25	5005.46			44989.8		35165.3																											32953.2	32060.9		23587	42767.1	30152	41013.1	78370					
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein										62325.1	121409	68191.4	31351.5	19894.3	18109.5	14515	8069.33	9869.32	6051.65	27723.9	9815.44	7364.88	5419.53	13378.3		9872.21	9567.67																	86546.3	172002	97771.5	42623.6	27617.1	22424.7	14327.7	11861.1					9594.88	6825.43			11275.8	13521.9	16127.2						
O00443	O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha		29630.6	69510.8	57472.9	74660				34129.9				6124.87	7178.51			16836.4		59011.8	36523	43703.7	59892.7	68863.2	37246.2	17472.5	17316.4	24713.9	11544.9																										104867		45660.1	45241.4		19079.2		141749							
O00459	O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta												17935.2	57283.6	108801	135236	109766	88129.3	71429	76129.2	68686.6	40434.6	33665	41000.3	45111.9	49972.8	36684.7	65022.5	48847.1	53203.5	87314.6																25679.1	59078.2	134161	120106	108096	115121	59033.6		29019.6		34049.4	22413.2		53894.4	45475.2	44441.8	37631.4	45741.9	36879		109746		
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4																										7367.91		62545.1	45171.7																																25427	55712.6						
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin		144631	132148	109346	67508.5						15952.4	24162	30964	59100	153380	178933	117434	171380	154207	126656	49803.9	27005.3	33711	23438.9	26825.3	54056.6	188887	762970	179240	61059.2	96406.2			616780						1.62358e+06				52399.1		22470	13285.1	37452.5	111493	164523	180588	191325	108945	71284.8		43499.4	30574		37564.2	77542.6	239450	862780	285425	139733		126230		
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2		303456						165695	381923	484754	683830	690970	376860	221263	120556	75469.8	60930.1	45619.1	49451.7	34467.1	27852.4	22940.3	23301.4	21987.2	22216.4	32518.7	26645.5	26565	28594.1	300571			106952	251742		402770	156653					108767	401501	469796	385237	920142	441860	260790	163623	75207.2	66478.4	59582	43248.8			20909.2	27397.2	244633	55742.1	46721.1	26760.1	63590.5	128109		123643		133828	
O00470	O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1			93304.6											19434.5	21279.4	24020.8	17393.9	14026.4	13323.9		7329.38	4631.42	6242.68	4790.83				7124.22																					32168.3	30436.4	38298								8656.23									
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14										20253	29916.6	200990	374484	191469	124475	89451.3	82205	89623.6	127855	56024.6	96255.4	117898	277514	152028	74453.3	86393.2	65136.4	43890	87111.8		86379.5		109793													105329	172821	173456	83888.5	34824.2	40887.6		84246.8	79037.9		87646.1	170721		63943.8	50302.2	33129				53691.2		109517	130102
O00488	O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593										108769	144913	99567.3	67753.2	24191.6	18846.5	58369.1	35434.4	47130.4	32963.3	50960.7	27129.4	38459.9	31908.4	34397.4	35247.8	34247.2	53466.4	86039.9	251595	464917	1.14519e+06	885233														51059.2	39445			27101.3	18124.1		11163	17904.2						33210.9	38159.9	42730.6	176483	265051	1.02904e+06	446214		
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4																			8227.27		7981.05	16289	42010.5	87924.8	159199	220143	101282	130550	128341	94942.6																								124045		19283.3	47441.2		122610	101652	115463	104760	119613	146596	83358	59485.8	138861	
O00506	O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25																		38441.6	85831.4		14080.9	25593	23787.6	16748	9244.59	12711.5																														28899.1	15965											
O00512	O00512	BCL9_HUMAN	BCL9	B-cell CLL/lymphoma 9 protein		60556.8		90287.5				54013.7	44054.3	38278.5	20124	19180.6	8519.45																														23054.7			14448.6				9425.32																		
O00515	O00515	LAD1_HUMAN	LAD1	Ladinin-1									34910.8	34617	33227.4	37269.8	29514.2	37605.4	53134.8	52236.3	40263.7	43254.8	91988.4	100740	35828.7	29857.5	19754.2	14214.5	8216.17	14901.6	32387.6	29301.4	46557.9															32660.1	35194.9	30487.1	31313.3	38192.4	45464.1	58350	49717.8	80570.7	79069.3	67205.7		50671.5				28110.4	19185.1	28777						
O00522	O00522	KRIT1_HUMAN	KRIT1	Krev interaction trapped protein 1						20505.8													6017.51		13701.7	26832.2	27675	22822.8	25073.8	15639.3	11039.9									123620																				28733.8	24274.4		26141.2		15987.7							
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog																	9674.19			17932.7					7309.21		23257.4	55477.7	119925	236225	353208	186511										97658.7																		26084.8	20641.1	53686.9	96310.7	157554	290938	74013.1		
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56																												18268.4	25098																																12032.5							
O00571	O00571;O15523	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X		362338	1.14103e+06	941166	807585	780323	556567	352233	223253	122050	484197	657349	136528	221175	85444.6	61768.1	75716.2	181541	356667	351096	346260	445958	501828	431943	421641	327267	303748	347631	376606	414448	466614	395440	236983	1.01341e+06			559400	802876	406146		151649	220486	143524	108246	80993.1	148591	109481	102130	63962.6	70380.8	60227.2	142444	225447	272306		320299	258895	1.78514e+06	252148	235131	257111	219816	348387	360513	372577	453852	191289	
O00584	O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2								106679	165631	369826	456396	605062	296421	256116	52876.1	20973	8365.61	33435.5			5988.4	89928.6																					171856	612426	335443	771455	430190	283457	69403.7	24072.1	13623.5						116215				13163.8	28052.3	86054					
O00625	O00625	PIR_HUMAN	PIR	Pirin		880723	1.28934e+06	1.46205e+06	830121	697181	634860	409935	350967	501155	312160	108072	76532.6	56658.5	32810.7	36601.8	38979.9	24752	22166	32983.7	13185.2	13625.4	17195.6	18579.8	13598.8	19380.5	26327.5	21847.4	26110					89480.5		441127	897825	1.06625e+06	1.33985e+06	1.39906e+06	918381	590322	365922	238182	543153	193804	89710	57587.9	52106	42651	29369.2	17921		16265.6		21121.1	28929.7		31814.5	23619.7	34688.7	30936.9	29895.4			162761		
O00628	O00628	PEX7_HUMAN	PEX7	Peroxisomal targeting signal 2 receptor																		9767.11	16133.3		9311.3	8050.54																																														
O00629	O00505;O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3													11755.4		26482.3		19026.6			14869.5	12729.9	19756.2	47119	80563.4	131889	305387	248794	240503	255861	331940	521752	193329	242520	252368																	7772.06					25280.9	49234.4	276079	203631	222338	261591	218189	199957	246406	375764	210891	212349	
O00635	O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38													10803.8	34044.6	33363.8	26671.4	18559	15090.6	11565.8		9058.39	5221.8	9300.29				70660.4		12676.2																			27509.6	38295.7	22090.4	20726.9																	
O00712	O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type		282679	162698	76797.4	105080	349919	276579	98649.3	113774	115354	117968	98956	52096	28441	24365.9	16257.4	8915.87	9928.7	12046.2	12383.1	13548.9	18744.7	46901.2	60807.9	92831.6	106588	167483	207663	93799.3	38333.7	61590.2	61457													71657.5	75106.8	34841.6	29468.4	19135.9	18694.4	9296.48					36989.1	49732.3	147010	100419	123922	138877	169886	75269.7		89648.7	89292.7	112331	
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit										13390.6	20155.6	31173.4	5288.83			3116.27		7470.61			10608	11417.4	17484.4		54738.6	16792	25056.7	23644.8	233960																	9139.01											13343.1		32507.4		24360.2							
O00746	O00746	NDKM_HUMAN	NME4	Nucleoside diphosphate kinase, mitochondrial												23368.2		12291.3	13169	9811.99	20087.4	81335.6	71418.6		10520.7	5395.26	11169.6		7934.62	7972.32																				27895.2	28559.6	12560.8	16696.4	18669.6	61045.8	69660	75110.7	23856.3		12101.4	11863.9				9810.64	25537.9						
O00750	O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta		848221	739255	643036	305368	345242	469751	319267	204659	140415	376009	42758.5	91220.7	84799.5	74660.6	120995	145332	143968	124835	100393	58145.8	48038.4	48142.4	50733.3	49831.4	47838.6	38868.8	45515.9	85530.6				69649.7													53922	101256	72992.1	69780.3	87884	100242	31190.7	65575.1	96985.4		43824.9	31501.4		50705.7	71793	69094.8	118361						
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase		763393	303738	255419	187788	133942	400959	475888	257638	179669	132784	67118.1	24442.7	13169.9	15472.4	6247.02	134010	12076.9																		1.08194e+06	368452	232288	229181			260343	128396	84564	37948.1	50087.3	18980.7	6786.36		26595.5																		
O00757	O00757	F16P2_HUMAN	FBP2	Fructose-1,6-bisphosphatase isozyme 2															10304.9	62382.9	45942.1	15365.7			12450				13068.6			10381.3																				8688.67	11335.2	52922.8	102030						22537.5			4900.47	11935.5							
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase													13033.4	19585.1	6718.45	18930.6	25410.8	14551.7	6457.48				3306.79																									6609.45	14242.7	28442	30378																	
O00767	O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase		315913	646777	290911	495134	259846	468605	237852	168603	123347	46777.4	28318.3	14383.5	20278.3	16211.6	13794.4	8247.36	4101.32								7068.24	16972.4	46636.8		25658.7																														27252.3	21336.9	37581.1	26937.5					
O14497	O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	2.75693e+06	2.09559e+06	444510	389454	320532	278850	1.26413e+06	1.32633e+06	780919	385349	268477	166499	82247.8	56829.1	55811.7	159999	159435	96345	89165	92891	43268.7	31448.1	32587.5	39445.1	42798.8	104825	105234	75742.8	97450.8	78343.9			160875			3.8958e+06	219278	385934			388962	1.35708e+06	646298	333721	132333	214765	74876.5	45919	37162.9	139254	124271	69922.1	27665	44113.6		42968.9	36605.3		54561.5	143699	132473	77070	59215.2	126283	53731.2	150403	122377	
O14519	O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1																							5519.96			19022.3	45219.8	27875.7	25612.7																												9587.33				66278.4	20428.6	34740.5					
O14530	O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9														14757.8	35541.1	48533.3	44587.5	54639.7	22948.8		41596.3		7840	24986.6	9644.76																								38928.4	57615.2	74854.2					12423.7												
O14531	O14531	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4										23774.8	34472.8	16676.2	4146.95									13317.5								139449	68363.8															11552.5																						
O14544	O14544	SOCS6_HUMAN	SOCS6	Suppressor of cytokine signaling 6												20430.3	33767.5	37530.4	27936.2	29613.9	35513.4	33156.1	34817.3		23877.8	14521.6	15913	15173.2	19974.6			5962.19																			18410.5	29936.3	17540	27925.6						33914.6												
O14545	O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1												21005.3	24439.4	26109.5	20375.5	26858.1	20468.7	23909.6	14144.7	8412.76	5797.62																									5274.91		21942.9	17594	23819.8	16531.9	8800.29		71146.5														
O14561	O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial															13301.4	4498.89	11161.8	20989	24094.2		30940.6	42402.9	57253.4	47025.4	80832.5	36209.2																											105380	56424.1		54192.9	107129		70300.1		10001							
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1													50586.3	41959.2	30602.3	28702	24798.3	12110.2			10086					48108.5																		293087			23121.7	71307.7	46153.7	28757.8	23383.5					6070.96												
O14578	O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase														13377.4	17685.4	26430.9	25973.5	23452.3	19500.8		10887.3	3698.06	7101.92	10954.1		10302.4	37613.5	49800.3	40364.6							243978												10706.6	19281.2	24237	23878.7			749701			421791			22390.4	36978	52647.9	25679.8					
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon												26581.4	94137.1	21819.2	32341.3	13676.9	3973.03	7548.13	36613.7		16666.8	19507.6	13297	39667.4	5957.75	36741.3	42385.7	43272.2	41942.1																			17415.8	21429.8												64586.4							
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1																							15961.3		47860	59334.3	182986	134719	132446	181670																								20859		75649.4	78202.6		58345.9			156836	263574					
O14618	O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase									30100.1	38977.1	142891	85261.9	63450.4	31729.7	29741.2	25343.8	22326.9	22819.4	19913.5		20545.6	30774.3	15420.1	9722.04	6371.62				74372.5															50101.6	133880	147242	58389.5	39886.2	32566.8	33067.7	24789												37308					
O14639	O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1		190738	283423	260463	251935	123161	200189	176823	193049	144600	212515	256262	204637	111146	109013	124395	114838	72953.6	76166.4	135084	38330.7	27302.1	28187.9	28587	28990.4	19130.6	32484.4	27936.7	40332.2		76989.1										628802			128263	90779.9	269617	148990	122864	97291.8	164763	105511	91158.5	38604.4	44441.7		21442.1	30766.8		30534.7	41629	29851.8	32131.8	24144.2		269693	164492		
O14641	O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2		149576							91116.1	73395.5	60832.1	45042.6	29081.2	30923	41159.7		6381.23	10760		39214.5	7977.98	5432.47	9919.57																					22364.2		45748.6				13601.9											24074.6							
O14646	O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1			91781.8								31771.4	19113.7	24777.8	20310.7	13005.6	18813.6	9890.69	16027	9049.84			4248.19	12988.5	10830.8	12983.9	11270.1	17980.5	48561	78834.5	99400.9	130460																	10375.6		15211.8										22369.1	13293.9	41837.4	54469.3	85534.2	124084			
O14647	O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2		34756.2	106766	110591	125886		44601.5	17866.1	44545.4	38051.7	74037.4	50038.1	29791.1	6276.39	5869.54	12270.4				4948.9						3562.38																				48445.7	29377.1	11142.8		16744.2												19509.5						
O14653	O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2										31786.9	194731	214035	83940.3	38444.3	15786.6	16674												56094.9																163732	180454	349038	125076	32420.2	5413.08	32970										6634.82	8912.32							
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10		289356									55699.9		19510.1		21902.2		15844.1					13430.8	11573	13471.3		10729.6										223557										29751.5	17055.7			20480.2																		
O14713	O14713	ITBP1_HUMAN	ITGB1BP1	Integrin beta-1-binding protein 1																					11171.1	20564.8	19811.3	14163.2	23659.8	16331.8		21705.2																												20608.1						11239						
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5													3455.79		12878	55923.6	42330.2	36787.1	26629.2	79387.3	16088.4	12471	15738.3	26841.2									38964.9															85868.5	13179	142017	68108.9						44929.8			20273.7	24612.4	14125.1	22098.7			24022.3		
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5													13495.6					31121.6	37439.7	42167.7	70030.1	79771.6	84095.9	98810.3	116077	207946	242024	305466	239619	117650	124746			126210																			75798.3	40875.9		99646.2	94581.2		114493	150449	258758	261009	156346	144628	178881		81735.3	
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1		67808.6	251866	60216.2	328369	219679	104065	99011	193469	350234	1.79031e+06	2.56132e+06	2.70035e+06	4.80215e+06	1.46989e+06	946522	637477	449993	307220	305858	127808	91961	79030.2	80793.1	83926.9	66395.4	81307.1	141416	237461	262959	295795	174272	256246			223082	1.0213e+06	331331	218804		78304.7		167224	739090	995923	2.92566e+06	2.89217e+06	5.46968e+06	1.94932e+06	1.34333e+06	950244	467384	256394	112890		84932.6	74263.7		73583.3	120600	114424	147599	222691	368561	432670	782253	178279	262734
O14757	O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1														6896.87	17882.9	17391	10908.8	9568.3				4058.77																										10680.1	28163.4	291846	18534.3																	
O14770	O00470;O14770	MEIS2_HUMAN	MEIS2	Homeobox protein Meis2													22684.1	66250.1	145778	198989	179998	147861	92602.1	71861.3	56885.4	47900.7	46899.7	42377.2	38951.7	40620.7	22261.8	33311.9	48824.6																			49202.9	105491	172472	205768	142623	67998.2	55573.9		43325.3	42433.9		29808.5	23690.4	34904.5	29327.8						
O14771	O14771	ZN213_HUMAN	ZNF213	Zinc finger protein 213																					19213.1	20832.2	48963.8	40879.3	61826.6	41015.8	33718.2	25879.3	15127.6																											21549	10559		40973.5	35596.9	26407.7	20093.1						
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1				45896.3		49051.7					15158.8		7068.44																												144300	257812			169550	29413.3	7373.26																					
O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1		318769	171336					158052							13278.1	27978.8	48779.3	19405.3	28173.2	21590.1	13647.4	9987.61	13181.8	79914.8	41699.3	28916.1	32319.8	18829.8																				3650.69	18553.8	27520.6	27755.9	30399.7				11555.1	13681		25114.8	43363.2	42713.7	52281.6						
O14777	O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog																		8147.56		10170																																																
O14786	O14786	NRP1_HUMAN	NRP1	Neuropilin-1			361248			559129											27241.3	61355.6	37305.1	12360																																50955	97884.1							68713				352868				
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7													19055.1			14227.2	24040	51671.7	38757.3	26881.2	49795.8	47072.9	58208.7	174551	404703	507650	224037	94084.6	78182.1	51825.2			131618	360422															12555.1		19679.3					83096.1	73289.7	312816	546401	399500	271953	103901	129640				90911.5	217171
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3		96390.6	121871	88293.3	87048.8			92571.6	54989.6	31482.8		8657.58																																																								
